day	contagion deaths intesiveCare	 TestsTamponi
20-feb	3			
21-feb	16	1		
22-feb	79	2		
23-feb	157	3		
24-feb	229	7		
25-feb	322	11		
26-feb	400	12		
27-feb	650	17		
28-feb	888	21		
29-feb	1128	29		
01-mar	1694	41		
02-mar	2036	52	166	
03-mar	2502	79	229	
04-mar	3089	107	297	
05-mar	3858	148	351	
06-mar	4636	197	462	
07-mar	5883	233	567	
08-mar	7375	366	650	
09-mar	9172	463	733	
10-mar	10149	631	877	
11-mar	12462	827	1028	
12-mar	15112	1015	1153	
13-mar	17660	1266	1328	
14-mar	21157	1441	1518	
15-mar	24747	1809	1672	
16-mar	27980	2158	1851	
17-mar	31506	2503	2060	137962
18-mar	35713	2978	2257	148657
19-mar	41035	3405	2498	165541
20-mar	47021	4032	2655	182777
21-mar	53578	4825	2857	206886
22-mar	59138	5476	3009	233222
23-mar	63927	6077	3204	258402
24-mar	69176	6820	3393	296964
25-mar	74386	7503	3489	324445
26-mar	80539	8165	3612	361060
27-mar	86498	9134	3732	394079
28-mar	92472	10023	3856	429526
29-mar	97689	10779	3906	454030
30-mar	101739	11591	3981	477359
31-mar	105792	12428	4023	506968
01-apr	110574	13155	4035	541423
02-apr	115242	13915	4053	581232
03-apr	119827	14681	4068	619849
04-apr	124632	15362	3994	657224
05-apr	128948	15887	3977	691461
06-apr	132547	16523	3898	721732
07-apr	135586	17127	3792	755445
08-apr	139422	17669	3693	807125
09-apr	143626	18279	3605	853369
10-apr	147577	18849	3497	906864
11-apr	152271	19468	3381	963473
12-apr	156363	19899	3343	1010193
13-apr	159516	20465	3260	1046910
14-apr	162488	21067	3186	1073689
15-apr	165155	21645	3079	1117404
16-apr	168941	22170	2936	1178403
17-apr	172434	22745	2812	1244108
18-apr	175925	23227	2733	1305833
19-apr	178972	23660	2635	1356541
20-apr	181228	24114	2573	1398024
21-apr	183957	24648	2471	1450150
22-apr	187327	25085	2384	1513251
23-apr	189973	25549	2267	1579909
24-apr	192994	25969	2173	1642356
25-apr	195351	26384	2102	1707743
26-apr	197675	26644	2009	1757659
27-apr	199414	26977	1956	1789662
28-apr	201505	27359	1863	1846934
29-apr	203591	27682	1795	1910761
30-apr	205463	27967	1694	1979217
01-mag	207428	28236	1578	2053425
02-mag	209328	28710	1539	2108837
03-mag	210717	28884	1501	2153772
04-mag	211938	29079	1479	2191403
05-mag	213013	29315	1427	2246666
06-mag	214457	29684	1333	2310929
07-mag	215858	29958	1311	2381288
08-mag	217185	30201	1168	2445063
09-mag	218268	30395	1034	2514234
10-mag	219070	30560	1027	2565912
11-mag	219814	30739	999	2606652
12-mag	221216	30911	952	2673655
13-mag	222104	31106	893	2735628
14-mag	223096	31368	855	2807504
15-mag	223885	31610	808	2875680
16-mag	224760	31763	775	2944859
17-mag	225435	31908	762	3004960
18-mag	225886	32007	749	3041366
19-mag	226699	32169	716	3104524
20-mag	227364	32330	676	3171719
21-mag	228006	32486	640	3243398
22-mag	228658	32616	595	3318778
23-mag	229327	32735	571	3391188
24-mag	229858	32785	553	3447012
25-mag	230158	32877	541	3482253
26-mag	230555	32955	521	3539927
27-mag	231139	33072	505	3607251
28-mag	231732	33142	489	3683144
29-mag	232248	33229	475	3755279
30-mag	232664	33340	450	3824621
31-mag	232997	33415	435	3878739
01-giu	233197	33475	424	3910133
02-giu	233515	33530	408	3962292
03-giu	233836	33601	353	3999591
04-giu	234013	33689	338	4049544
05-giu	234531	33774	316	4114572
06-giu	234801	33846	293	4187057
07-giu	234998	33899	287	4236535
08-giu	235278	33964	283	4263647
09-giu	235561	34043	263	4318650
10-giu	235763	34114	249	4381349
11-giu	236142	34167	236	4443821
12-giu	236305	34223	227	4514441
13-giu	236651	34301	220	4564191
14-giu	236989	34345	209	4620718
15-giu	237290	34371	207	4648825
16-giu	237500	34405	177	4695707
17-giu	237828	34448	163	4773408
18-giu	238159	34514	168	4831562
19-giu	238011	34561	161	4889103
